"City","City Slug","Neighborhood","Neighborhood Slug"
"Manhattan","manhattan","Chinatown","chinatown"
"Manhattan","manhattan","East Village","east-village"
"Manhattan","manhattan","Lower East Side","lower-east-side"
"Manhattan","manhattan","Above 14th Street","above-14th-street"
"Manhattan","manhattan","West Village","west-village"
"Brooklyn","brooklyn","Bushwick","bushwick"
"Brooklyn","brooklyn","Park Slope, Gowanus","park-slope-gowanus"
"Brooklyn","brooklyn","Williamsburg, Greenpoint","williamsburg-greenpoint"
