"Parser",,,,,,,,,,,,
,"ID","festival-lepix-movie-free-for-all-2011",,,,,,,,,,
"Festival",,,,,,,,,,,,
,"Name","Epix Movie Free for All",,,,,,,,,,
,"Merge Key","epix-movie-free-for-all",,,,,,,,,,
,"Season Merge Key","epix-movie-free-for-all-2011",,,,,,,,,,
,"Season Start Date","06/30/2011",,,,,,,,,,
,"Season End Date","08/29/11",,,,,,,,,,
,"Season URL","http://www.epixhd.com/freeforall/",,,,,,,,,,
,,,,,,,,,,,,
"Shows",,,,,,,,,,,,
,"Merge Key","Show Date","Performers","Title","Show Time","Door Time","Venue Name","Venue URL","Free","Show URL","Image URL","Resources"
,"how-she-move","08/29/11",,"How She Move","08:00:00 PM",,"Luna Park","http://www.lunaparknyc.com/",,"http://www.epixhd.com/freeforall/","http://ia.media-imdb.com/images/M/MV5BMTkwOTcxMTk0NF5BMl5BanBnXkFtZTcwNzk1MzQ1MQ@@._V1._SX485_SY323_.jpg",
,"friday","07/06/11",,"Friday","08:00:00 PM",,"McCarren Park","http://www.nycgovparks.org/parks/mccarrenpark/",,"http://www.epixhd.com/freeforall/","http://ia.media-imdb.com/images/M/MV5BMjczMDk0OTExMF5BMl5BanBnXkFtZTcwMTM0NDQ0NA@@._V1._SX640_SY418_.jpg",
,"waynes-world","07/13/11",,"Wayne's World","08:00:00 PM",,"McCarren Park","http://www.nycgovparks.org/parks/mccarrenpark/",,"http://www.epixhd.com/freeforall/","http://shadoka.files.wordpress.com/2010/07/buddy-movies-waynes-world.jpg",
,"ghost-world","07/20/11",,"Ghost World","08:00:00 PM",,"McCarren Park","http://www.nycgovparks.org/parks/mccarrenpark/",,"http://www.epixhd.com/freeforall/","http://ia.media-imdb.com/images/M/MV5BMjAwMTc3MDAxNV5BMl5BanBnXkFtZTYwOTgyMjk2._V1._SX450_SY339_.jpg",
,"ferris-beullers-day-off","07/27/11",,"Ferris Bueller's Day Off","08:00:00 PM",,"McCarren Park","http://www.nycgovparks.org/parks/mccarrenpark/",,"http://www.epixhd.com/freeforall/","http://ia.media-imdb.com/images/M/MV5BMTc4OTAyOTg0OF5BMl5BanBnXkFtZTcwMDIzNDY4Mw@@._V1._SX640_SY425_.jpg",
,"clueless","08/03/11",,"Clueless","08:00:00 PM",,"McCarren Park","http://www.nycgovparks.org/parks/mccarrenpark/",,"http://www.epixhd.com/freeforall/","http://ia.media-imdb.com/images/M/MV5BMjAwMDAwMTUxOF5BMl5BanBnXkFtZTcwMzkwMDExNA@@._V1._SX640_SY426_.jpg",
,"jurassic-park","08/10/11",,"Jurassic Park","08:00:00 PM",,"McCarren Park","http://www.nycgovparks.org/parks/mccarrenpark/",,"http://www.epixhd.com/freeforall/","http://ia.media-imdb.com/images/M/MV5BMTY4NzcwNTAxNV5BMl5BanBnXkFtZTYwNjcxNzE3._V1._SX475_SY318_.jpg",
,"clermont-ferrand","07/06/11",,"Clermont Ferrand Short Films","08:00:00 PM",,"Socrates Sculpture Park","http://www.socratessculpturepark.org/",,"http://www.epixhd.com/freeforall/","http://www.rooftopfilms.com/images_2011/Yuri_Lenons_Landing_On_Alpha_414x227.jpg",
,"who-wants-to-kill-jessie","07/13/11",,"Who Wants to Kill Jessie","08:00:00 PM",,"Socrates Sculpture Park","http://www.socratessculpturepark.org/",,"http://www.epixhd.com/freeforall/","http://ia.media-imdb.com/images/M/MV5BMjEyODk4NDQyOF5BMl5BanBnXkFtZTcwODkwMzYzMQ@@._V1._SX355_SY500_.jpg",
,"caramel","07/20/11",,"Caramel","08:00:00 PM",,"Socrates Sculpture Park","http://www.socratessculpturepark.org/",,"http://www.epixhd.com/freeforall/","http://ia.media-imdb.com/images/M/MV5BMTcyNjc1NTg2NV5BMl5BanBnXkFtZTYwMjk5Njk3._V1._SX485_SY325_.jpg",
,"the-good-the-bad-the-wird","07/27/11",,"The Good, The Bad, The Weird","08:00:00 PM",,"Socrates Sculpture Park","http://www.socratessculpturepark.org/",,"http://www.epixhd.com/freeforall/","http://ia.media-imdb.com/images/M/MV5BMTM1MTk0MTY2Nl5BMl5BanBnXkFtZTcwMTk3MDYyMg@@._V1._SX640_SY429_.jpg",
,"the-straight-story","08/03/11",,"The Straight Story","08:00:00 PM",,"Socrates Sculpture Park","http://www.socratessculpturepark.org/",,"http://www.epixhd.com/freeforall/","http://images.allmoviephoto.com/1999_The_Straight_Story/richard_farnsworth_wiley_harker_the_straight_story_001.jpg",
,"at-the-edige-of-russie","08/10/11",,"At the Edge of Russia","08:00:00 PM",,"Socrates Sculpture Park","http://www.socratessculpturepark.org/",,"http://www.epixhd.com/freeforall/","http://ia.media-imdb.com/images/M/MV5BMTY5NjA5NzkwOV5BMl5BanBnXkFtZTcwMjQwNDk5Mw@@._V1._SX640_SY480_.jpg",
,"biutiful","08/17/11",,"Biutiful","08:00:00 PM",,"Socrates Sculpture Park","http://www.socratessculpturepark.org/",,"http://www.epixhd.com/freeforall/","http://ia.media-imdb.com/images/M/MV5BMTMwMjM1NzE3Nl5BMl5BanBnXkFtZTcwODk2MDE1Mw@@._V1._SX640_SY425_.jpg",
,"backyard-band","08/24/11",,"Backyard Band/with Silent Film Festival","08:00:00 PM",,"Socrates Sculpture Park","http://www.socratessculpturepark.org/",,"http://www.epixhd.com/freeforall/","http://www.socratessculpturepark.org/programs/programimages/cinema.jpg",
