"Parser",,,,,,,,,,,,
,"ID","festival-celebrate-brooklyn-2011",,,,,,,,,,
"Festival",,,,,,,,,,,,
,"Name","Celebrate Brooklyn",,,,,,,,,,
,"Merge Key","celebrate-brooklyn",,,,,,,,,,
,"Season Merge Key","celebrate-brooklyn-2011",,,,,,,,,,
,"Season Start Date","06/10/11",,,,,,,,,,
,"Season End Date","08/11/11",,,,,,,,,,
,"Season URL","http://www.bricartsmedia.org/performing-arts/celebrate-brooklyn/2011-season",,,,,,,,,,
"Venue",,,,,,,,,,,,
,"Name","Prospect Park Bandshell",,,,,,,,,,
,"URL","http://www.prospectpark.org/visit/places/bandshell/",,,,,,,,,,
,"Address","Prospect Park West and 9th Street, Brooklyn, NY 11215",,,,,,,,,,
,"City","brooklyn",,,,,,,,,,
,"Neighborhood","park-slope-gowanus",,,,,,,,,,
,"Lat",40.65,,,,,,,,,,
,"Long",-73.94999999999999,,,,,,,,,,
,,,,,,,,,,,,
"Shows",,,,,,,,,,,,
,"Merge Key","Show Date","Performers","Title","Show Time","Door Time","Venue Name","Venue URL","Free","Show URL","Image URL","Resources"
,"los-lobos","07/08/11","Los Lobos, Hello Seahorse!, Zigmat",,"07:00:00 PM","06:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/los-lobos-with-hello-seahorse-and-zigmat","http://www.bricartsmedia.org/uploads/images/two-col/dc97abfa-55df-4829-a057-5b03c807abbf_loslobos-by_drewreynolds.jpg",
,"raekwon","07/09/11","Raekwon, Smif-N-Wessun, Joell Ortiz, Skyzoo, Neek the Exotic, Large Professor",,"07:30:00 PM","06:30:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/lyricist-lounge-featuring-raekwon-with-smif-n-wessun-joell-ortiz-more","http://www.bricartsmedia.org/uploads/images/two-col/b88cc4d8-634a-428d-9f44-c69db15ffdf6_raekwon.jpg",
,"frankie-gavin","07/14/11","Frankie Gavin & De Dannan, Liam ó Maonlaí, McPeake",,"07:00:00 PM","06:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/frankie-gavin-de-dannan-with-liam-o-maonlai-and-mcpeake","http://www.bricartsmedia.org/uploads/images/two-col/917856ff-4b46-459f-83a0-56ad96efbc8b_frankiegavin_dedannan.jpg",
,"shriley-caesar","07/15/11","Shirley Caesar, Vy Higginsen's Gospel for Teens Choir",,"07:30:00 PM","06:30:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/shirley-caesar-with-vy-higginsen-s-gospel-for-teens-choir","http://www.bricartsmedia.org/uploads/images/two-col/fc5888b4-5b3c-420f-baa1-b626e93c4e86_shirleycaesar.jpg",
,"dan-zanes","07/16/11",,"Dan Zanes With the Brooklyn Youth Orchestra & Bed Stuy Veterans","04:00:00 PM","03:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/dan-zanes-with-the-brooklyn-youth-orchestra-bed-stuy-veterans","http://www.bricartsmedia.org/uploads/images/two-col/de18455a-ca8b-490a-87b9-126a5020c992_danzanes-by_galanarezo.jpg",
,"west-side-story","07/21/11",,"West Side Story Dance- & Sing-Along","08:00:00 PM","07:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/west-side-story-dance-sing-along","http://www.bricartsmedia.org/uploads/images/two-col/eeb563e3-6742-450b-a917-508b2755ac73_westsidestory_photofest.jpg",
,"sean-kuti","07/22/11","Sean Kuti, Egypt 80, Faaji Agba",,"07:00:00 PM","06:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/seun-kuti-egypt-80-with-faaji-agba","http://www.bricartsmedia.org/uploads/images/two-col/e431bc9d-4416-4f26-af5b-e84b094583ea_seunkuti-by_kelechiamadiobi.jpg",
,"the-feelies","07/23/11","The Feelies, Real Estate, Times New Viking",,"07:00:00 PM","06:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/the-feelies-with-real-estate-and-times-new-viking","http://www.bricartsmedia.org/uploads/images/two-col/3a8e2b4d-194a-4b92-9f3c-d66b6e71c9d0_thefeelies_byfumieishii.jpg",
,"mark-morris-dance","07/28/11",,"Mark Morris Dance Group with the Brooklyn Philharmonic & the Brooklyn Interdenominational Choir","08:00:00 PM","07:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/mark-morris-dance-group-with-the-brooklyn-philharmonic-the-brooklyn","http://www.bricartsmedia.org/uploads/images/two-col/ae6894e8-5a4c-48ce-be2a-e4b0c7f830a6_markmorris-by_stephanieberger.jpg",
,"oumou-sangare","07/29/11","Oumou Sangaré, Bassam Saba",,"07:30:00 PM","06:30:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/oumou-sangare-with-bassam-saba","http://www.bricartsmedia.org/uploads/images/two-col/a250a919-4003-4655-9fbf-88dfda65aba2_omousangare-by_edalcock.jpg",
,"dr-john","07/30/11","Dr. John & the Lower 911, Chuck Brown, Red Baraat",,"06:30:00 PM","05:30:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/dr-john-the-lower-911-with-chuck-brown-and-red-baraat","http://www.bricartsmedia.org/uploads/images/two-col/f829e62b-1442-4d2f-8077-f8f6e682a083_drjohn_bylisahoulgrave.jpg",
,"metropolis","08/04/11",,"The Complete Metropolis With Alloy Orchestra and Marika Hughes","07:00:00 PM","06:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/the-complete-metropolis-with-alloy-orchestra-and-marika-hughes","http://www.bricartsmedia.org/uploads/images/two-col/986f9acc-8141-4705-87d1-686898d8a007_metropolis_photofest.jpg",
,"ra-ra-riot","08/05/11","Ra Ra Riot, Delicate Steve, Buke and Gass",,"07:00:00 PM","06:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/ra-ra-riot-with-delicate-steve-and-buke-gass","http://www.bricartsmedia.org/uploads/images/two-col/845660e4-f5e3-4cd4-a412-48e13f0bbe1d_rarariot-by_dorongild.jpg",
,"ailey","08/06/11",,"Ailey II: Revelations","08:00:00 PM","07:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,"http://www.bricartsmedia.org/events/performing-arts/ailey-ii-revelations","http://www.bricartsmedia.org/uploads/images/two-col/470d2900-f512-4737-8856-f8fe2bc6130a_aileyii-by_eduardopatino.jpg",
,"the-decemberists","06/14/11","The Decemberists, Best Coast",,"07:00:00 PM","06:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,,"http://www.bricartsmedia.org/uploads/images/two-col/eca8d604-75b4-47b6-bcab-db6ebe8edde9_decemberists.jpg",
,"animal-collective","07/12/11","Animal Collective",,"06:30:00 PM","05:30:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,,"http://www.bricartsmedia.org/uploads/images/two-col/54dafb41-b72f-412f-ba73-9bcd55bca401_animal-collective.jpg",
,"sufjan-steves","08/02/11","Sufjan Stevens",,"07:00:00 PM","06:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,,"http://www.bricartsmedia.org/uploads/images/two-col/4c78ad0f-bc5b-4663-aabb-7f790c4cf41f_sufjanstevens.jpg",
,"bon-iver","08/10/11","Bon Iver",,"07:00:00 PM","06:00:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,,"http://www.bricartsmedia.org/uploads/images/two-col/86c87466-830f-464a-a8a3-fd8a44600abb_bon-iver.jpg",
,"cut-copy","08/11/11","Cut Copy, Foster The People, Midnight Magic",,"06:30:00 PM","05:30:00 PM","Prospect Park Bandshell","http://www.prospectpark.org/visit/places/bandshell/",,,"http://www.bricartsmedia.org/uploads/images/two-col/43b4236b-4f05-4cef-b740-a35e3f08ebf7_cut-copy.jpg",
